Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
"Three Billboards Outside Ebbing, Missouri",2017,115 min.,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell",,
Fear and Loathing in Las Vegas,1998,118 min.,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire",,
The Raid 2,2014,148 min.,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra",,
Training Day,2001,120 min.,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn",,
El Topo,1970,125 min.,Alejandro Jodorowsky,"Alejandro Jodorowsky, Alfonso Arau, Brontis Jodorowsky",,
National Lampoon's Vacation,1983,98 min.,Harold Ramis,"Chevy Chase, Beverly D'Angelo, Anthony Michael Hall",,
The Trial,1962,118 min.,Orson Welles,"Romy Schneider, Elsa Martinelli, Suzanne Flon",,
Koyaanisqatsi,1982,86 min.,Godfrey Reggio,,,
Stripes,1981,126 min.,Ivan Reitman,"Bill Murray, Warren Oates, P.J. Soles",,
Red Beard,1965,185 min.,Akira Kurosawa,"Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki",,
The Hunt for Red October,1990,134 min.,John McTiernan,"Sean Connery, Alec Baldwin, Sam Neill",,
Delicatessen,1991,99 min.,"Marc Caro, Jean-Pierre Jeunet","Dominique Pinon, Marie-Laure Dougnac, Jean-Claude Dreyfus",,
Misery,1990,107 min.,Rob Reiner,"James Caan, Kathy Bates, Richard Farnsworth",,
El Dorado,1966,126 min.,Howard Hawks,"John Wayne, James Caan, Paul Fix",,
Paprika,2006,90 min.,Satoshi Kon,"Toru Furuya, Akio Ohtsuka, Hideyuki Tanaka",,
Deadpool,2016,106 min.,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein",,
The Hurt Locker,2008,127 min.,Kathryn Bigelow,"Jeremy Renner, Brian Geraghty, Guy Pearce",,
Our Hospitality,1923,73 min.,"John G. Blystone, Buster Keaton","Buster Keaton, Joe Roberts, Natalie Talmadge",,
In the Name of the Father,1993,133 min.,Jim Sheridan,"Pete Postlethwaite, Daniel Day-Lewis, Emma Thompson",,
The Fall,2006,117 min.,Tarsem Singh,"Catinca Untaru, Justine Waddell, Lee Pace",,
Jojo Rabbit,2019,108 min.,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Taika Waititi",,
The Abyss,1989,138 min.,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",,
Coco,2017,109 min.,"Adrian Molina, Lee Unkrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",,
Mission: Impossible - Fallout,2018,147 min.,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames",,
Get Carter,1971,112 min.,Mike Hodges,"Michael Caine, Ian Hendry, Britt Ekland",,
A Prophet,2009,155 min.,Jacques Audiard,"Niels Arestrup, Tahar Rahim, Adel Bencherif",,
Short Cuts,1993,187 min.,Robert Altman,"Andie MacDowell, Bruce Davison, Chris Penn",,
The Guns of Navarone,1961,158 min.,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn",,
King Kong,1933,100 min.,Merian C. Cooper,"Fay Wray, Robert Armstrong, Bruce Cabot",,
"South Park: Bigger, Longer & Uncut",1999,81 min.,Trey Parker,"Trey Parker, Matt Stone, George Clooney",,
The Devils,1971,111 min.,Ken Russell,"Vanessa Redgrave, Oliver Reed, Dudley Sutton",,
Dunkirk,2017,107 min.,Christopher Nolan,"Fionn Whitehead, Tom Glynn-Carney, Mark Rylance",,
Avatar,2009,150 min.,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",,
Phantom of the Paradise,1974,92 min.,Brian De Palma,"William Finley, Paul Williams, Jessica Harper",,
Happy Gilmore,1996,92 min.,Dennis Dugan,"Adam Sandler, Julie Bowen, Christopher McDonald",,
Kramer vs. Kramer,1979,105 min.,Robert Benton,"Howard Duff, Justin Henry, Jane Alexander",,
Hearts of Darkness: A Filmmaker's Apocalypse,1991,96 min.,"Fax Bahr, George Hickenlooper, Eleanor Coppola","Francis Ford Coppola, John Milius, Samuel Bottoms",,
The Lost Boys,1987,97 min.,Joel Schumacher,"Corey Haim, Dianne Wiest, Kiefer Sutherland",,
Midnight in Paris,2011,94 min.,Woody Allen,"Owen Wilson, Rachel McAdams, Marion Cotillard",,
Night and the City,1950,96 min.,Jules Dassin,"Richard Widmark, Gene Tierney, Googie Withers",,
X-Men: First Class,2011,134 min.,Matthew Vaughn,"James McAvoy, Michael Fassbender, Kevin Bacon",,
Doctor Zhivago,1965,197 min.,David Lean,"Rod Steiger, Alec Guinness, Omar Sharif",,
The Bad and the Beautiful,1952,118 min.,Vincente Minnelli,"Lana Turner, Kirk Douglas, Walter Pidgeon",,
Captain Blood,1935,119 min.,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Basil Rathbone",,
Hoosiers,1986,114 min.,David Anspaugh,"Gene Hackman, Barbara Hershey, Dennis Hopper",,
The Caine Mutiny,1954,124 min.,Edward Dmytryk,"Humphrey Bogart, José Ferrer, Van Johnson",,
Mission: Impossible,1996,110 min.,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart",,
Ordinary People,1980,124 min.,Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch",,
The Batman,2022,176 min.,Matt Reeves,"Robert Pattinson, Colin Farrell, Zoe Kravitz",,
The Court Jester,1955,101 min.,"Melvin Frank, Norman Panama","Danny Kaye, Glynis Johns, Basil Rathbone",,
Hunt for the Wilderpeople,2016,93 min.,Taika Waititi,"Sam Neill, Julian Dennison, Rhys Darby",,
Black Hawk Down,2001,144 min.,Ridley Scott,"Josh Hartnett, Ewan McGregor, Eric Bana",,
The Muppet Movie,1979,95 min.,James Frawley,"Charles Durning, Edgar Bergen, Milton Berle",,
Take Shelter,2011,120 min.,Jeff Nichols,"Michael Shannon, Jessica Chastain, Katy Mixon",,
Manhunter,1986,124 min.,Michael Mann,"William Petersen, Kim Greist, Brian Cox",,
Grosse Pointe Blank,1997,107 min.,George Armitage,"John Cusack, Dan Aykroyd, Joan Cusack",,
The Bad Sleep Well,1960,151 min.,Akira Kurosawa,"Toshirô Mifune, Masayuki Mori, Kyoko Kagawa",,
Mother,2009,129 min.,Bong Joon Ho,"Park Eun-kyo, Jin Goo, Ku Jin",,
