Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Sin City,2005,124 min.,"Frank Miller, Robert Rodriguez, Quentin Tarantino","Bruce Willis, Mickey Rourke, Clive Owen",,
The Lady from Shanghai,1947,87 min.,Orson Welles,"Everett Sloane, Rita Hayworth, Ted de Corsia",,
Hud,1963,112 min.,Martin Ritt,"Paul Newman, Patricia Neal, Brandon de Wilde",,
Cinema Paradiso,1988,155 min.,Giuseppe Tornatore,"Philippe Noiret, Jacques Perrin, Salvatore Cascio",,
They Live,1988,93 min.,John Carpenter,"Roddy Piper, Keith David, Meg Foster",,
The Producers,1968,88 min.,Mel Brooks,"Zero Mostel, Gene Wilder, Kenneth Mars",,
Before Midnight,2013,108 min.,Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick",,
Goldfinger,1964,110 min.,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman",,
The Asphalt Jungle,1950,112 min.,John Huston,"Louis Calhern, James Whitmore, Sam Jaffe",,
Kiss Me Deadly,1955,104 min.,Robert Aldrich,"Ralph Meeker, Albert Dekker, Paul Stewart",,
The Purple Rose of Cairo,1985,82 min.,Woody Allen,"Mia Farrow, Jeff Daniels, Danny Aiello",,
The Circus,1928,71 min.,Charles Chaplin,"George Davis, Al Ernest Garcia, Charles Chaplin",,
Freaks,1932,64 min.,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova",,
Beauty and the Beast,1946,96 min.,Jean Cocteau,"Jean Marais, Josette Day, Mila Parely",,
Big,1988,104 min.,Penny Marshall,"Robert Loggia, Elizabeth Perkins, Jared Rushton",,
The Bourne Ultimatum,2007,115 min.,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn",,
L'avventura,1960,141 min.,Michelangelo Antonioni,"Gabriele Ferzetti, Monica Vitti, Lea Massari",,
The Hunt,2012,106 min.,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",,
Pierrot le fou,1965,110 min.,Jean-Luc Godard,"Jean-Paul Belmondo, Anna Karina, Graziella Galvani",,
The Bourne Supremacy,2004,108 min.,Paul Greengrass,"Matt Damon, Franka Potente, Brian Cox",,
Enter the Dragon,1973,110 min.,Robert Clouse,"Bruce Lee, Jim Kelly, John Saxon",,
My Life to Live,1962,85 min.,Jean-Luc Godard,"Anna Karina, Guylaine Schlumberger, Eric Schlumberger",,
Spider-Man,2002,121 min.,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe",,
Prisoners,2013,146 min.,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",,
After Hours,1985,97 min.,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Linda Fiorentino",,
Five Easy Pieces,1970,98 min.,Bob Rafelson,"Jack Nicholson, Karen Black, Billy Green Bush",,
Holiday,1938,95 min.,George Cukor,"Katharine Hepburn, Cary Grant, Doris Nolan",,
A Place in the Sun,1951,112 min.,George Stevens,"Montgomery Clift, Elizabeth Taylor, Shelley Winters",,
The Wrestler,2008,111 min.,Darren Aronofsky,"Mark Margolis, Todd Barry, Mickey Rourke",,
The Birds,1963,119 min.,Alfred Hitchcock,"Tippi Hedren, Suzanne Pleshette, Rod Taylor",,
Deep Red,1975,126 min.,Dario Argento,"David Hemmings, Daria Nicolodi, Gabriele Lavia",,
Man with a Movie Camera,1929,68 min.,Dziga Vertov,Mikhail Kaufman,,
The Evil Dead,1981,85 min.,Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Betsy Baker",,
"Lock, Stock and Two Smoking Barrels",1998,107 min.,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran",,
East of Eden,1955,115 min.,Elia Kazan,"Julie Harris, James Dean, Raymond Massey",,
The Phantom Carriage,1921,93 min.,Victor Sjöström,"Victor Sjostrom, Hilda Borgström, Tore Svennberg",,
Scott Pilgrim vs. the World,2010,111 min.,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Chris Evans",,
Superbad,2007,113 min.,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse",,
La La Land,2016,128 min.,Damien Chazelle,"Emma Stone, Ryan Gosling, Finn Wittrock",,
Black Swan,2010,103 min.,Darren Aronofsky,"Natalie Portman, Mila Kunis, Winona Ryder",,
Hiroshima mon amour,1959,90 min.,Alain Resnais,"Emmanuelle Riva, Eiji Okada",,
The Cameraman,1928,75 min.,Edward Sedgwick,"Buster Keaton, Sidney Bracey, Dick Alexander",,
Spaceballs,1987,96 min.,Mel Brooks,"Rick Moranis, Daphne Zuniga, John Candy",,
F for Fake,1973,85 min.,Orson Welles,"Joseph Cotten, Richard Wilson, Orson Welles",,
Ninotchka,1939,110 min.,Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Ina Claire",,
Through a Glass Darkly,1961,89 min.,Ingmar Bergman,"Harriet Andersson, Gunnar Björnstrand, Max von Sydow",,
Minority Report,2002,145 min.,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton",,
Big Trouble in Little China,1986,99 min.,John Carpenter,"Kurt Russell, Kim Cattrall, James Hong",,
Animal Crackers,1930,97 min.,Victor Heerman,"Harpo Marx, Groucho Marx, Chico Marx",,
The Verdict,1982,129 min.,Sidney Lumet,"Paul Newman, Charlotte Rampling, Jack Warden",,
Serpico,1973,130 min.,Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe",,
Knives Out,2019,130 min.,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",,
Au Hasard Balthazar,1966,95 min.,Robert Bresson,"Anne Wiazemsky, Walter Green, François Lafarge",,
12 Years a Slave,2013,133 min.,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch",,
Rushmore,1998,93 min.,Wes Anderson,"Bill Murray, Olivia Williams, Brian Cox",,
Harry Potter and the Prisoner of Azkaban,2004,141 min.,Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson",,
The Right Stuff,1983,193 min.,Philip Kaufman,"Sam Shepard, Scott Glenn, Ed Harris",,
Inside Llewyn Davis,2013,105 min.,Joel & Ethan Coen,"Oscar Isaac, Carey Mulligan, Justin Timberlake",,
Kagemusha,1980,162 min.,Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara",,
My Darling Clementine,1946,97 min.,John Ford,"Henry Fonda, Victor Mature, Linda Darnell",,
The Warriors,1979,92 min.,Walter Hill,"Michael Beck, James Remar, Dorsey Wright",,
Day for Night,1973,115 min.,François Truffaut,"Jacqueline Bisset, Valentina Cortese, Alexandra Stewart",,
Straw Dogs,1971,118 min.,Sam Peckinpah,"Dustin Hoffman, Susan George, Peter Vaughan",,
Amarcord,1973,123 min.,Federico Fellini,"Bruno Zanin, Pupella Maggio, Ciccio Ingrassia",,
Gilda,1946,110 min.,Charles Vidor,"Joseph Calleia, Steven Geray, Rita Hayworth",,
Night and Fog,1956,32 min.,Alain Resnais,"Michel Bouquet, Reinhard Heydrich, Heinrich Himmler",,
Don't Look Now,1973,110 min.,Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason",,
Once Upon a Time ...in Hollywood,2019,161 min.,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie",,
Cat on a Hot Tin Roof,1958,108 min.,Richard Brooks,"Paul Newman, Elizabeth Taylor, Burl Ives",,
High Fidelity,2000,113 min.,Stephen Frears,"John Cusack, Iben Hjejle, Todd Louiso",,
Hard Boiled,1992,126 min.,John Woo,"Chow Yun-Fat, Tony Leung Chiu Wai, Teresa Mo",,
"Steamboat Bill, Jr.",1928,71 min.,Charles Reisner,"Buster Keaton, Tom McGuire, Ernest Torrence",,
Anchorman: The Legend of Ron Burgundy,2004,94 min.,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd",,
A Hard Day's Night,1964,87 min.,Richard Lester,"John Lennon, Paul McCartney, George Harrison",,
District 9,2009,112 min.,Neill Blomkamp,"Vanessa Haywood, Sharlto Copley, David James",,
Inherit the Wind,1960,128 min.,Stanley Kramer,"Fredric March, Spencer Tracy, Dick York",,
X-Men,2000,104 min.,Bryan Singer,"Hugh Jackman, Patrick Stewart, Ian McKellen",,
Animal House,1978,109 min.,John Landis,"John Belushi, Tom Hulce, Stephen Furst",,
Sabrina,1954,113 min.,Billy Wilder,"Humphrey Bogart, Audrey Hepburn, William Holden",,
Lethal Weapon,1987,117 min.,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey",,
Nightcrawler,2014,117 min.,Dan Gilroy,"Jake Gyllenhaal, Bill Paxton, Rene Russo",,
Once Upon a Time in America,1984,229 min.,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern",,
Love and Death,1975,85 min.,Woody Allen,"Diane Keaton, Woody Allen, Despo Diamantidou",,
The Hangover,2009,96 min.,Todd Phillips,"Ed Helms, Zach Galifianakis, Justin Bartha",,
Zombieland,2009,80 min.,Ruben Fleischer,"Jesse Eisenberg, Woody Harrelson, Emma Stone",,
Captain America: Civil War,2016,147 min.,"Anthony Russo, Joe Russo","Chris Evans, Anthony Mackie, Sebastian Stan",,
Dawn of the Dead,1978,126 min.,George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger",,
Marathon Man,1976,125 min.,John Schlesinger,"Dustin Hoffman, Laurence Olivier, Roy Scheider",,
Edge of Tomorrow,2014,113 min.,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton",,
Breakfast at Tiffany's,1961,115 min.,Blake Edwards,"George Peppard, Patricia Neal, Buddy Ebsen",,
Oppenheimer,2023,180 min.,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon",,
The Lion in Winter,1968,134 min.,Anthony Harvey,"Anthony Hopkins, Kenneth Griffith, Peter O'Toole",,
Lost in Translation,2003,102 min.,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi",,
The Day the Earth Stood Still,1951,92 min.,Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe",,
Invasion of the Body Snatchers,1956,80 min.,Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates",,
Die Hard With a Vengeance,1995,131 min.,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",,
From Here to Eternity,1953,118 min.,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr",,
Lolita,1962,152 min.,Stanley Kubrick,"James Mason, Shelley Winters, Sue Lyon",,
Thor: Ragnarok,2017,130 min.,Taika Waititi,"Chris Hemsworth, Mark Ruffalo, Tom Hiddleston",,
Dazed and Confused,1993,103 min.,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey",,
Spider-Man: Across the Spider-Verse,2023,140 min.,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Oscar Isaac",,
Ratatouille,2007,111 min.,Brad Bird,"Peter O'Toole, Ian Holm, Janeane Garofalo",,
La jetée,1962,28 min.,Chris Marker,"Jean Négroni, Hélène Chatelain, Davos Hanich",,
Gone Girl,2014,145 min.,David Fincher,"Ben Affleck, Rosamund Pike, Carrie Coon",,
Au Revoir Les Enfants,1987,104 min.,Louis Malle,"Gaspard Manesse, Stanislas Carre de Malberg, Philippe Morier-Genoud",,
Midnight Run,1988,126 min.,Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto",,
3 Women,1977,124 min.,Robert Altman,"Sissy Spacek, Shelley Duvall, Janice Rule",,
The Lives of Others,2006,137 min.,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch",,
The Young Girls of Rochefort,1967,128 min.,Jacques Demy,"Catherine Deneuve, Françoise Dorléac, George Chakiris",,
Possession,1981,123 min.,Andrzej Zulawski,"Isabelle Adjani, Sam Neill, Margit Carstensen",,
Three Days of the Condor,1975,117 min.,Sydney Pollack,"Robert Redford, Faye Dunaway, Max von Sydow",,
The Decalogue,1989,550 min.,Krzysztof Kieslowski,"Artur Barcis, Olgierd Lukaszewicz, Olaf Lubaszenko",,
Eraserhead,1977,89 min.,David Lynch,"Jack Nance, Jeanne Bates, Judith Anna Roberts",,
Picnic at Hanging Rock,1975,115 min.,Peter Weir,"Jenny Lovell, Peter Collingwood, Margaret Nelson",,
Kwaidan,1964,183 min.,Masaki Kobayashi,"Rentaro Mikuni, Michiyo Aratama, Keiko Kishi",,
Gangs of New York,2002,167 min.,Martin Scorsese,"Leonardo DiCaprio, Daniel Day-Lewis, Jim Broadbent",,
Brick,2005,110 min.,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas",,
The Killer,1989,111 min.,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh",,
Caddyshack,1980,98 min.,Harold Ramis,"Chevy Chase, Rodney Dangerfield, Bill Murray",,
Spotlight,2015,128 min.,Tom McCarthy,"Michael Keaton, Mark Ruffalo, Rachel McAdams",,
Ball of Fire,1941,111 min.,Howard Hawks,"Barbara Stanwyck, Gary Cooper, S.Z. Sakall",,
Little Miss Sunshine,2006,101 min.,"Jonathan Dayton, Valerie Faris","Greg Kinnear, Toni Collette, Steve Carell",,
Slumdog Millionaire,2008,120 min.,"Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Madhur Mittal",,
Raise the Red Lantern,1991,125 min.,Yimou Zhang,"Gong Li, Ding Weimin, Chu Xiao",,
The Martian,2015,130 min.,Ridley Scott,"Matt Damon, Chiwetel Ejiofor, Jeff Daniels",,
The Double Life of Veronique,1991,98 min.,Krzysztof Kieslowski,"Wladyslaw Kowalski, Irène Jacob, Halina Gryglaszewska",,
Hoop Dreams,1994,170 min.,Steve James,"Spike Lee, Sheila Agee, Gene Pingatore",,
Wayne's World,1992,94 min.,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe",,
Ivan's Childhood,1962,95 min.,Andrei Tarkovsky,"Nikolay Burlyaev, Valentin Zubkov, Yevgeni Zharikov",,
1917,2019,118 min.,Sam Mendes,"Dean-Charles Chapman, George MacKay, Mark Strong",,
Lifeboat,1944,96 min.,Alfred Hitchcock,"Tallulah Bankhead, William Bendix, Walter Slezak",,
Cast Away,2000,143 min.,Robert Zemeckis,"Tom Hanks, Helen Hunt, Viveka Davis",,
The Jerk,1979,94 min.,Carl Reiner,"Steve Martin, Bernadette Peters, Catlin Adams",,
"What's Up, Doc?",1972,94 min.,Peter Bogdanovich,"Barbra Streisand, Ryan O'Neal, Kenneth Mars",,
A Christmas Story,1983,93 min.,Bob Clark,"Melinda Dillon, Darren McGavin, Peter Billingsley",,
Magnolia,1999,188 min.,Paul Thomas Anderson,"Philip Seymour Hoffman, John C. Reilly, Tom Cruise",,
Halloween,1978,91 min.,John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes",,
The Man Who Knew Too Much,1956,120 min.,Alfred Hitchcock,"James Stewart, Brenda de Banzie, Bernard Miles",,
The Killers,1946,103 min.,Robert Siodmak,"Ava Gardner, Albert Dekker, Jeff Corey",,
L'atalante,1934,89 min.,Jean Vigo,"Michel Simon, Dita Parlo, Jean Dasté",,
The Quiet Man,1952,129 min.,John Ford,"John Wayne, Victor McLaglen, Barry Fitzgerald",,
Bullitt,1968,114 min.,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset",,
Howl's Moving Castle,2004,119 min.,Hayao Miyazaki,"Chieko Baisho, Takuya Kimura, Akihiro Miwa",,
"Planes, Trains & Automobiles",1987,93 min.,John Hughes,"Steve Martin, John Candy, Laila Robins",,
Once,2006,85 min.,John Carney,"Markéta Irglová, Glen Hansard, Hugh Walsh",,
Re-Animator,1985,95 min.,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton",,
Duel,1971,74 min.,Steven Spielberg,"Dennis Weaver, Eddie Firestone, Gene Dynarski",,
Le trou,1960,132 min.,Jacques Becker,"Michel Constantin, Philippe Leroy, Jean Keraudy",,
Escape from New York,1981,99 min.,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine",,
Sleuth,1972,138 min.,Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine",,
House,1977,88 min.,Nobuhiko Ôbayashi,"Kimiko Ikegami, Kumiko Ohba, Yôko Minamida",,
Seconds,1966,107 min.,John Frankenheimer,"Rock Hudson, John Randolph, Will Geer",,
Cape Fear,1962,105 min.,J. Lee Thompson,"Gregory Peck, Robert Mitchum, Polly Bergen",,
The Royal Tenenbaums,2001,110 min.,Wes Anderson,"Ben Stiller, Gwyneth Paltrow, Luke Wilson",,
Scenes from a Marriage,1973,169 min.,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Erland Josephson",,
Battleship Potemkin,1925,75 min.,Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov",,
Warrior,2011,141 min.,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton",,
A Few Good Men,1992,138 min.,Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore",,
"Kiss Kiss, Bang Bang",2005,103 min.,Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan",,
You Can't Take It With You,1938,126 min.,Frank Capra,"Edward Arnold, Mischa Auer, James Stewart",,
Only Angels Have Wings,1939,121 min.,Howard Hawks,"Cary Grant, Jean Arthur, Richard Barthelmess",,
The Wicker Man,1973,100 min.,Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento",,
I Saw the Devil,2010,144 min.,Jee-woon Kim,"Byung-hun Lee, Min-sik Choi, Gook-hwan Jeon",,
Forbidden Planet,1956,98 min.,Fred M. Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen",,
Spellbound,1945,111 min.,Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov",,
Viridiana,1961,90 min.,Luis Buñuel,"Silvia Pinal, Fransisco Rabal, Fernando Rey",,
Pickup on South Street,1953,80 min.,Samuel Fuller,"Thelma Ritter, Richard Widmark, Jean Peters",,
Ali: Fear Eats the Soul,1974,94 min.,Rainer Werner Fassbinder,"Brigitte Mira, El Hedi ben Salem, Barbara Valentin",,
The Raid,2011,101 min.,Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah",,
A Beautiful Mind,2001,135 min.,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",,
Moonlight,2016,110 min.,Barry Jenkins,"Mahershala Ali, Trevante Rhodes, Janelle Monáe",,
Invasion of the Body Snatchers,1978,115 min.,Philip Kaufman,"Donald Sutherland, Brooke Adams, Veronica Cartwright",,
Contempt,1963,103 min.,Jean-Luc Godard,"Brigitte Bardot, Michel Piccoli, Jack Palance",,
The 40-Year-Old Virgin,2005,116 min.,Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd",,
Onibaba,1964,103 min.,Kaneto Shindô,"Taiji Tonoyama, Nobuko Otowa, Jitsuko Yoshimura",,
The Cranes are Flying,1957,94 min.,Mikhail Kalatozov,"Tatyana Samojlova, Aleksey Batalov, Aleksandr Shvorin",,
Birdman,2014,119 min.,Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton",,
Suspicion,1941,99 min.,Alfred Hitchcock,"Cary Grant, Cedric Hardwicke, Nigel Bruce",,
From Russia with Love,1963,115 min.,Terence Young,"Sean Connery, Pedro Armendáriz, Lotte Lenya",,
Down by Law,1986,107 min.,Jim Jarmusch,"Tom Waits, John Lurie, Roberto Benigni",,
Independence Day,1996,153 min.,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum",,
Giant,1956,201 min.,George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean",,
Dr. No,1962,110 min.,Terence Young,"Sean Connery, Joseph Wiseman, Jack Lord",,
Dracula,1931,75 min.,Tod Browning,"Bela Lugosi, Helen Chandler, David Manners",,
Autumn Sonata,1978,99 min.,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman",,
"They Shoot Horses, Don't They?",1969,129 min.,Sydney Pollack,"Susannah York, Jane Fonda, Red Buttons",,
Porco Rosso,1992,94 min.,Hayao Miyazaki,"Shûichirô Moriyama, Tokiko Katô, Sanshi Katsura",,
What We Do in the Shadows,2014,86 min.,"Jemaine Clement, Taika Waititi","Taika Waititi, Jemaine Clement, Jonathan Brugh",,
Watchmen,2009,162 min.,Zack Snyder,"Malin Akerman, Billy Crudup, Jackie Earle Haley",,
The Devil's Backbone,2001,106 min.,Guillermo del Toro,"Marisa Paredes, Eduardo Noriega, Federico Luppi",,
Spider-Man: No Way Home,2021,148 min.,Jon Watts,"Tom Holland, Benedict Cumberbatch, Alfred Molina",,
Battle Royale,2000,114 min.,Kinji Fukasaku,"Tatsuya Fujiwara, Chiaki Kuriyama, Aki Maeda",,
The Handmaiden,2016,144 min.,Chan-wook Park,"Min-hee Kim, Tae-ri Kim, Jung-woo Ha",,
Beauty and the Beast,1991,84 min.,"Gary Trousdale, Kirk Wise","Richard White, Jerry Orbach, Angela Lansbury",,
Skyfall,2012,120 min.,Sam Mendes,"Daniel Craig, Javier Bardem, Judi Dench",,
True Grit,2010,110 min.,Joel & Ethan Coen,"Jeff Bridges, Hailee Steinfeld, Matt Damon",,
Walkabout,1971,100 min.,Nicolas Roeg,"Jenny Agutter, Luc Roeg, David Gulpilil",,
The Fly,1986,95 min.,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz",,
Papillon,1973,150 min.,Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, E.J. Andre",,
Make Way for Tomorrow,1937,92 min.,Leo McCarey,"Victor Moore, Beulah Bondi, Fay Bainter",,
First Blood,1982,94 min.,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy",,
The City of Lost Children,1995,112 min.,"Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet",,
Mr. Deeds Goes To Town,1936,115 min.,Frank Capra,"George Bancroft, Gary Cooper, Jean Arthur",,
Angels with Dirty Faces,1938,97 min.,Michael Curtiz,"James Cagney, Pat O'Brien, Humphrey Bogart",,
Slap Shot,1977,123 min.,George Roy Hill,"Paul Newman, Strother Martin, Jennifer Warren",,
Gremlins,1984,106 min.,Joe Dante,"Zach Galligan, Phoebe Cates, Corey Feldman",,
Room,2015,118 min.,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Joan Allen",,
The Haunting,1963,112 min.,Robert Wise,"Julie Harris, Claire Bloom, Richard Johnson",,
Foreign Correspondent,1940,120 min.,Alfred Hitchcock,"Joel McCrea, Laraine Day, Herbert Marshall",,
Dune: Part Two,2024,166 min.,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",,
Withnail & I,1987,107 min.,Bruce Robinson,"Richard E. Grant, Richard Griffiths, Ralph Brown",,
Heathers,1988,102 min.,Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty",,
Spartacus,1960,184 min.,Stanley Kubrick,"Kirk Douglas, Laurence Olivier, Peter Ustinov",,
Hell or High Water,2016,102 min.,David Mackenzie,"Ben Foster, Chris Pine, Jeff Bridges",,
The Master,2012,144 min.,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams",,
Jackie Brown,1997,154 min.,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster",,
Near Dark,1987,94 min.,Kathryn Bigelow,"Adrian Pasdar, Jenny Wright, Lance Henriksen",,
Dogma,1999,130 min.,Kevin Smith,"Linda Fiorentino, Ben Affleck, Matt Damon",,
Fantastic Mr. Fox,2009,87 min.,Wes Anderson,"George Clooney, Bill Murray, Meryl Streep",,
Life Is Beautiful,1997,116 min.,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",,
Trading Places,1983,116 min.,John Landis,"Dan Aykroyd, Eddie Murphy, Jamie Lee Curtis",,
Gone with the Wind,1939,238 min.,Victor Fleming,"Vivien Leigh, Clark Gable, Leslie Howard",,
The Intouchables,2011,112 min.,"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny",,
The Thin Blue Line,1988,103 min.,Errol Morris,"Randall Adams, David Harris, Dale Holt",,
Yi Yi: A One and a Two,2000,173 min.,Edward Yang,"Nien-Jen Wu, Su-Yun Ko, Kelly Lee",,
The Iron Giant,1999,86 min.,Brad Bird,"Eli Marienthal, Vin Diesel, Harry Connick Jr.",,
Star Wars: The Force Awakens,2015,135 min.,J.J. Abrams,"Harrison Ford, Daisy Ridley, John Boyega",,
Naked,1993,131 min.,Mike Leigh,"Greg Cruttwell, Claire Skinner, David Thewlis",,
(500) Days of Summer,2009,95 min.,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend",,
Blow-Up,1966,111 min.,Michelangelo Antonioni,"David Hemmings, Vanessa Redgrave, Sarah Miles",,
John Wick,2014,96 min.,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen",,
Before Sunset,2004,77 min.,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",,
"Crouching Tiger, Hidden Dragon",2000,120 min.,Ang Lee,"Ziyi Zhang, Cheng Pei-Pei, Chow Yun-Fat",,
Say Anything...,1989,100 min.,Cameron Crowe,"John Cusack, Ione Skye, John Mahoney",,
Baby Driver,2017,115 min.,Edgar Wright,"Ansel Elgort, Lily James, Jamie Foxx",,
Shrek,2001,90 min.,"Andrew Adamson, Vicky Jenson","Eddie Murphy, Cameron Diaz, Vincent Cassel",,
The Diving Bell and the Butterfly,2007,112 min.,Julian Schnabel,"Marie-Josée Croze, Marina Hands, Isaach de Bankolé",,
In Cold Blood,1967,134 min.,Richard Brooks,"Robert Blake, Scott Wilson, Paul Stewart",,
Smiles of a Summer Night,1955,108 min.,Ingmar Bergman,"Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson",,
"Synecdoche, New York",2008,124 min.,Charlie Kaufman,"Michelle Williams, Catherine Keener, Philip Seymour Hoffman",,
The Karate Kid,1984,126 min.,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue",,
Spider-Man 2,2004,127 min.,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco",,
The Player,1992,124 min.,Robert Altman,"Tim Robbins, Whoopi Goldberg, Peter Gallagher",,
Black Christmas,1974,98 min.,Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder",,
Pickpocket,1959,75 min.,Robert Bresson,"Martin Lasalle, Marika Green, Jean Pélégri",,
Broadcast News,1987,133 min.,James L. Brooks,"William Hurt, Joan Cusack, Albert Brooks",,
Horse Feathers,1932,68 min.,Norman Z. McLeod,"Groucho Marx, Harpo Marx, Chico Marx",,
Unbreakable,2000,106 min.,M. Night Shyamalan,"Bruce Willis, Robin Wright, Charlayne Woodard",,
Cat People,1942,73 min.,Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway",,
Shutter Island,2010,138 min.,Martin Scorsese,"Ben Kingsley, Mark Ruffalo, Max von Sydow",,
Breaking Away,1979,101 min.,Peter Yates,"Dennis Christopher, Dennis Quaid, Daniel Stern",,
True Lies,1994,141 min.,James Cameron,"Jamie Lee Curtis, Bill Paxton, Tia Carrere",,
The Long Good Friday,1980,114 min.,John Mackenzie,"Bob Hoskins, Dave King, Eddie Constantine",,
Boyhood,2014,163 min.,Richard Linklater,"Ellar Coltrane, Ethan Hawke, Patricia Arquette",,
Bring Me the Head of Alfredo Garcia,1974,112 min.,Sam Peckinpah,"Warren Oates, Isela Vega, Robert Webber",,
The Vanishing,1988,107 min.,George Sluizer,"Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege",,
The Spirit of the Beehive,1973,97 min.,Víctor Erice,"Ana Torrent, Fernando Fernán Gómez, Teresa Gimpera",,
