Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Inglourious Basterds,2009,153 min.,Quentin Tarantino,Melanie Laurent,Adventure,Revenge Film
Throne of Blood,1957,109 min.,Akira Kurosawa,Toshirô Mifune,Action Thriller,Action
Network,1976,121 min.,Sidney Lumet,Faye Dunaway,Black Comedy,Comedy Drama
Indiana Jones and the Temple of Doom,1984,118 min.,Steven Spielberg,Harrison Ford,Action,Adventure
The Philadelphia Story,1940,112 min.,George Cukor,Cary Grant,Based-on-Theatre,Comedy
Sweet Smell of Success,1957,96 min.,Alexander Mackendrick,Burt Lancaster,Drama,Film Noir
The Man Who Shot Liberty Valance,1962,123 min.,John Ford,John Wayne,Drama,Outlaw
The Conversation,1974,113 min.,Francis Ford Coppola,Gene Hackman,Drama,New Hollywood
All About Eve,1950,138 min.,Joseph L. Mankiewicz,Bette Davis,Comedy Drama,Drama
A Matter of Life and Death,1946,104 min.,"Michael Powell, Emeric Pressburger",David Niven,Fantasy,Romance
Cool Hand Luke,1967,126 min.,Stuart Rosenberg,Paul Newman,Drama,New Hollywood
Groundhog Day,1993,101 min.,Harold Ramis,Bill Murray,Comedy,Fantasy Comedy
Raging Bull,1980,129 min.,Martin Scorsese,Robert De Niro,Based-on-20th-Century-Literature,Based-on-a-True-Story
The Rules of the Game,1939,110 min.,Jean Renoir,Nora Gregor,Comedy Drama,Drama
Shadow of a Doubt,1943,108 min.,Alfred Hitchcock,Teresa Wright,Crime Thriller,Crime
His Girl Friday,1940,92 min.,Howard Hawks,Cary Grant,Based-on-Theatre,Comedy
Good Will Hunting,1997,126 min.,Gus Van Sant,Matt Damon,Coming-of-Age,Drama
Out of the Past,1947,97 min.,Jacques Tourneur,Robert Mitchum,Based-on-20th-Century-Literature,Crime
Badlands,1973,95 min.,Terrence Malick,Sissy Spacek,Americana,Based-on-a-True-Story
Sherlock Jr.,1924,45 min.,Buster Keaton,Buster Keaton,Action Comedy,Comedy
Whiplash,2014,106 min.,Damien Chazelle,Miles Teller,Drama,Psychological Drama
La Dolce Vita,1960,180 min.,Federico Fellini,Marcello Mastroianni,Comedy Drama,Drama
The Maltese Falcon,1941,100 min.,John Huston,Humphrey Bogart,Based-on-20th-Century-Literature,Crime
The Big Sleep,1946,114 min.,Howard Hawks,Lauren Bacall,Based-on-20th-Century-Literature,Detective Film
Shaun of the Dead,2004,99 min.,Edgar Wright,Simon Pegg,Apocalyptic Film,Black Comedy
The Thing,1982,109 min.,John Carpenter,Kurt Russell,Alien Invasion Films,Based-on-20th-Century-Literature
